,id,Sentence,Aspect Term,polarity,word_count,vector,Aspect_TFIDF
0,3121,staff horribl us ,staff ,-1,3,[[0.57735027 0.57735027 0.57735027]],0.5773502691896258
1,2777,complet fair redeem factor food averag couldnt make defici teodora ,food ,1,10,"[[0.31622777 0.31622777 0.31622777 0.31622777 0.31622777 0.31622777
  0.31622777 0.31622777 0.31622777 0.31622777]]",0.31622776601683794
2,1634,food uniformli except capabl kitchen proudli whip whatev feel like eat whether menu ,food ,1,13,"[[0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501
  0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501]]",0.2773500981126146
3,1634,food uniformli except capabl kitchen proudli whip whatev feel like eat whether menu ,kitchen ,1,13,"[[0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501
  0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501]]",0.2773500981126146
4,1634,food uniformli except capabl kitchen proudli whip whatev feel like eat whether menu ,menu ,0,13,"[[0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501
  0.2773501 0.2773501 0.2773501 0.2773501 0.2773501 0.2773501]]",0.2773500981126146
5,2846,food outstand littl perk great ,food ,1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
6,2846,food outstand littl perk great ,perk ,1,5,[[0.4472136 0.4472136 0.4472136 0.4472136 0.4472136]],0.4472135954999579
7,1458,agre favorit orrechiet sausag chicken usual waiter kind enough split dish half get sampl meat ,orrechiet sausag chicken ,1,15,"[[0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889]]",0.0
8,1458,agre favorit orrechiet sausag chicken usual waiter kind enough split dish half get sampl meat ,waiter ,1,15,"[[0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889]]",0.2581988897471611
9,1458,agre favorit orrechiet sausag chicken usual waiter kind enough split dish half get sampl meat ,meat ,0,15,"[[0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889 0.25819889 0.25819889 0.25819889
  0.25819889 0.25819889 0.25819889]]",0.2581988897471611
