reviewText,AspectTerm,Sentiment
The Black Bean & Lime Soup is my favorite .,food general,positive
"It tastes fresh and homemade , has just a hint of spiciness , and it ' s satisfying .",food quality,positive
"As an added bonus , it ' s good for you .",food general,positive
Discovered this Hot Sauce on a recent trip to Hawaii and while eating it I had to extend the experience .,food recommendation,positive
Literally ordered it from my phone as I enjoyed .,food general,positive
It has an awesome flavor with just the right amount of Spice .,food general,positive
You can taste the quality ingredients .,food general,positive
. very highly recommended !,food recommendation,positive
Delicious !,food quality,positive
Amazon is the only place I ' ve been able to find grade B maple syrup in reasonably small containers .,amazon availability,positive
It has considerably more intense maple flavor than grade A .,food quality,positive
"The usual assumption is that grade A is better than grade B but unlike eggs or meat , the grade refers to when the syrup is harvested , grade B being the more intensely flavored .",food quality,positive
Makes pancakes and waffles worth getting up for !,food general,positive
Thought I was getting a really good buy on these until I read the label .,food general,negative
The dosage amount of Glucosamine / Chondroitin is vague .,food quality,negative
It appears I need to give my dog an entire bag to get him 500 mg of glucosamine .,food general,negative
Too expensive for me .,food prices,negative
"The dogs love them , so if you want to give them an expensive treat they ' ll love , go for it .",food prices,negative
My only complaint about this product is that I couldn ' t get it in the 4 oz cups like some of the other fruits .,food general,negative
"I love Mandarin Oranges and the price on these is good - - this is one that would help me if it was in cups because I tend to eat too much of these sweet , juicy morsels !",food prices,positive
"I love Mandarin Oranges and the price on these is good - - this is one that would help me if it was in cups because I tend to eat too much of these sweet , juicy morsels !",food general,positive
Thinks about it Amazon . com,amazon availability,positive
Really easy to prepare and very yummy .,food general,positive
Really easy to prepare and very yummy .,food quality,positive
With my microwave I put them in for 1 : 40 and they turn out perfect .,food general,positive
"Warm , crunchy and tasty .",food general,positive
"Warm , crunchy and tasty .",food quality,positive
"Warm , crunchy and tasty .",food general,positive
"And without the carbs , they don ' t impact your blood sugar which is a real boon for us diabetics .",food general,positive
I think that Kelloggs Frosted Mini - wheats is absolutely wonderful because it ' s sweet and because it ' s filling .,food general,positive
I think that Kelloggs Frosted Mini - wheats is absolutely wonderful because it ' s sweet and because it ' s filling .,food quality,positive
Love it !,food general,positive
I can not tell a difference by taking this supplement .,food general,negative
I think it may have caused upset stomach .,food general,negative
For the caling effect I have noticed nothing .,food general,negative
Full of flavor and punch !,food quality,positive
I cannot believe that this is all natural !,food general,positive
Tangy and juicy - not too sweet .,food general,positive
Tangy and juicy - not too sweet .,food quality,positive
No extra sugar or other junk !,food general,positive
Great size - - a treat indeed !,food style_options,positive
"However , teh price would most likely keep me from purchasing .",food prices,negative
my kids love these but I paid $ 22 .,food general,positive
24 for 24 bags on Amazon .,amazon prices,negative
I just came back from Costco where I only paid $ 12 .,amazon prices,negative
99 for 20 bags !,amazon prices,negative
A whole lot cheaper at costco ! ! !,amazon prices,negative
My 3 1 / 2 year old loved this cookie !,food general,positive
Very soft and th perfect amount of sweetness - not overly sweet like some oatmeal cookies tend to be .,food quality,positive
Very soft and th perfect amount of sweetness - not overly sweet like some oatmeal cookies tend to be .,food quality,positive
"What I like best : it dissolves instantly , with no lumps !",food general,positive
This coffee is simply the best I have found in ages .,food general,positive
"I purchase it through the Subscribe - and - Save program , so I get a discount , and free shipping .",food prices,positive
"I purchase it through the Subscribe - and - Save program , so I get a discount , and free shipping .",shipment prices,positive
"It is tasty , rich , well - balanced and fresh .",food quality,positive
"It is tasty , rich , well - balanced and fresh .",food quality,positive
"It is tasty , rich , well - balanced and fresh .",food quality,positive
"It is tasty , rich , well - balanced and fresh .",food quality,positive
Best of all it comes right to my door .,shipment delivery,positive
"Organic , fair trade and shade grown make it even better .",food quality,positive
"Organic , fair trade and shade grown make it even better .",food quality,positive
Our dog loves the taste of these treats .,food quality,positive
Pros - Taste . .,food quality,positive
They appear to be healthy .,food general,positive
"Cons - They are easily chewed through ; thus , your dog will likely finish them quickly .",food general,negative
I keep ordering this product because they add so much to my baking .,food general,positive
"They are always fresh , delicious , and beautiful .",food quality,positive
It works great if you have family members who do not prefer nuts .,food recommendation,positive
"The bonus is that the nuts on top come out of the oven light , toasty and delicious .",food general,positive
"I saw these Petrodex chews were pretty inexpensive and had good reviews , so I decided to try them out .",food prices,positive
"I saw these Petrodex chews were pretty inexpensive and had good reviews , so I decided to try them out .",food general,positive
"In fact , she loves them .",food general,positive
Awesome Baked Tostadas .,food quality,positive
"They taste great , I use them with homemade salsa , or I eat them like chips with Black Beans and Rice .",food quality,positive
Great stuff !,food general,positive
Use it all the time to spice up alkaline foods without having to worry about my salt intake .,food general,positive
I ' m getting essential minerals the way nature intended without a bunch of processed stuff from man made products .,food general,positive
Helps my GI tract functions without a bunch of over the counter medicines .,food general,positive
Highly recommended .,food recommendation,positive
"I love Silk Very Vanilla Soymilk in the large cartons , and I was so happy when I was browsing through Amazon and came across these individual 8 - ounce containers",food general,positive
"I love Silk Very Vanilla Soymilk in the large cartons , and I was so happy when I was browsing through Amazon and came across these individual 8 - ounce containers",amazon availability,positive
The delivery was on time and I immediately put them in the fridge .,shipment delivery,positive
They taste just like the large cartons sold in grocery stores and come in cute little containers .,food quality,positive
I will definitely re - order these !,food recommendation,positive
The cheddar flavor is THE BEST .,food quality,positive
Sour cream and onion is not far behind .,food quality,positive
Glad Amazon has them by the case - way cheaper than getting them in the stores .,amazon availability,positive
Glad Amazon has them by the case - way cheaper than getting them in the stores .,amazon prices,positive
This stuff is very fine .,food general,positive
It is a little bitter if only mixed with water but great with vanilla almond milk .,food quality,negative
It is a little bitter if only mixed with water but great with vanilla almond milk .,food quality,positive
Great sustained energy .,food general,positive
Great price .,food prices,positive
Not stuffed so there ' s no fluff to pick up .,food general,positive
Very soft and realistic .,food quality,positive
"Plush toys were not made to endure a dog ' s aggressive ripping and tearing , so it won ' t hold up forever .",food quality,neutral
"Still , this was a good buy and I will purchase again .",food general,positive
This is a great tasting gluten - free corn flake cereal .,food quality,positive
This is a great tasting gluten - free corn flake cereal .,food general,positive
I like the fact that it is also organic and is offered at a lower price than what is available locally .,food quality,positive
I like the fact that it is also organic and is offered at a lower price than what is available locally .,food prices,positive
The fruit juice sweetened taste is not too sweet but just right for my taste buds .,food quality,positive
