reviewerID,asin,reviewerName,helpful_yes,helpful_total,reviewText,overall,summary,unixReviewTime,reviewTime
A2JXAZZI9PHK9Z,0594451647,"Billy G. Noland ""Bill Noland""",3,3,I am using this with a Nook HD+. It works as described. The HD picture on my Samsung 52&#34; TV is excellent.,5.0,HDMI Nook adapter cable,1388707200,"01 3, 2014"
A2P5U7BDKKT7FW,0594451647,Christian,0,0,The cable is very wobbly and sometimes disconnects itself.The price is completely unfair and only works with the Nook HD and HD+,2.0,Cheap proprietary scam,1398556800,"04 27, 2014"
A7S2B0I67WNWB,0594481813,AllyMG,2,2,"This item is just as was described in the original description, works without any issues to be seen. Good product",4.0,As expected,1397606400,"04 16, 2014"
A3HICVLF4PFFMN,0594481813,Amazon Customer,0,0,bought for a spare for my 9&#34; Nook HD and it fit perfectly.  Very satisfied with the price much less than on the BN site,5.0,great fit,1399248000,"05 5, 2014"
ANSKSPEEAKY7S,0594481813,Gena,1,1,"My son crewed my HD charger cord so I needed another one, this is exactly like the one my son destroyed.",5.0,Works Great,1372032000,"06 24, 2013"
A2QBZA4S1ROX9Q,0594481813,Jake,0,1,"This is a good beefy 2 amp charger, but it covers two outlets on a power strip. It's ok in a regular wall outlet. The best thing is it uses a standard USB connector so it can charge more than just a Nook (I have a Kindle Fire HD+).",3.0,It Works,1369440000,"05 25, 2013"
ANY6JUFM0GH8U,0594481813,J. Clement,2,2,"I lost my B&N original cable.  I looked around for an new one.  I tried  a different, cheaper model but it didn't fit my device properly so back to the drawing board.  I ordered this one.  I am satisfied.  It works exactly as expected and fits perfectly.  I would recommend this product to anyone looking for a spare or in lieu of the original usb cable adapter.",5.0,Great replacement for original power cable,1394323200,"03 9, 2014"
AGAKHE014LQFU,0594481813,Nicodimus,3,5,"Go to Target or Barnes and Noble instead, and pay $25 (which is still a huge markup, considering they make the thing for 50 cents.) This is the worst option if you need one of these. It's price gouging, pure and simple.",3.0,$45 for a power cord? Good luck with that.,1379462400,"09 18, 2013"
A1S6B5QFWGVL5U,0594481813,T. Vaughan,2,2,"Works well, a little pricey I think for a charging cable, but then again, not losing the original would be a lot cheaper than any replacement",4.0,Good replacement,1372291200,"06 27, 2013"
A20XXTXWF2TCPY,0972683275,,0,0,"This is a great buy, compared to a $60 or more a retail store.",5.0,Excelant mount for Tv. Would buy more if I needed them.,1405123200,"07 12, 2014"
A2IDCSC6NVONIZ,0972683275,2Cents!,1,1,This mount is just what I needed.  It is strong and sturdy.  It folds almost flat to enable the television to sit square and flat against the wall if desired and extends and rotates for angle turns.  A perfect fit as long as you match the correct visa pattern for your television.,5.0,Perfect,1367280000,"04 30, 2013"
A1EDI0X3GI1SK7,0972683275,AGW,0,1,"Great deal, easy to mount and it appears to be fairly sturdy. I mounted a 32 in tv on it and it works great.",5.0,32 In TV Mount,1323993600,"12 16, 2011"
