reviewText,Sentiment
good little set of add on lenses didn't really get the chance to use much but they all seemed to work fine just stepped up to the Nikon D3200 package so gave this one to my wife,neutral
"I had one from 2 years ago, also cheaply made blue plastic, which transferred my pictures very quickly.  I gave that to a relative, and bought ths one, from &#34;jacob's parts&#34;.  It's much slower, although made of similar cheap blue plastic.  I can tolerate the cheap feel, but 45 min to transfer 1 sd card worth of pix when it used to take much less than 30 is not ok, even at this two buck price!",neutral
Nice bag that I got for free when I purchased the K200D Body. Just wondering what to do with the velcro padded partitions that don't seem to fit anywhere. Would have been nice to have some illustrations. Quality I would rate a 4. Lots of pockets and Compartments. Just a bit larger than I expected.,neutral
This case is OK but it feels somewhat cheap and flimsy. You have to be careful when standing up the iPad vertically as it may flip.,neutral
"Purchased this item in hopes of increasing my range over my Linksys adapter, but it hasn't.  It works fine up to about 40 feet, then you lose your connection quite often.  I will use it, but it doesn't do what I expected.",neutral
Well what can I say about a case.... It's good with one side to hold USB cable and memory card with a net and the External Hard Drive on the other side. The material is quite sturdy and resembles Nylon on Tumi products. And cute Amazon logo on the Zipper ^^,neutral
"Technically I'm sure this is a fine product. My college professor suggested using a Trackball instead of a mouse for Photoshop work, but after ordering this and trying it out for awhile, I went back to the mouse. This was too clunky and big for my smaller hand and I was very uncomfortable using it.",neutral
"It does it's job, but very hard to apply.  I finally learned to live with the air bubbles under the ""skin"" after trying many times to get it on correctly.It probably is a good - better product, but I had a hard time trying to get it applied correctly.",neutral
I am not sure how long a keyboard is expected to last under daily use but I have not had this all that long and it is starting to die already. The keys are no longer functioning all the time. I bought it because of the good reviews but I think I will try a different keyboard next time.,neutral
"It can be forced into place to make the product fit, but it is too tight for my radio and required a little modification to make it look good.  I also painted mine to improve the look.",neutral
This is the 2nd one of these that I've bought because the other one broke shortly after receiving it.  This one seems to be lasting a bit longer.  Caution on these.  You get what you pay for.,neutral
"I used this mouse for several months, but I finally came to the conclusion that it is simply too small.  Perhaps for someone with smaller hands that won't be a problem.  I also don't like the fact that it uses AAA batteries (related to the fact that it's quite small).My new replacement Bluetooth mouse uses AA batteries, which are much more common, and therefore easier (and often cheaper) to replace.  Especially when traveling.",neutral
"The Case is really nice but the pockets are not so comfortable. If u have all the kit sensor, even the wifi USB, you can risk to loose it easily. An extra zip inside will be ok. It strange that GARMIN doesn't think on it before.",neutral
"These headphones perform wonderfully, especially considering their low price. I have listened to rock, pop, country, and classical music, and these phones have sounded great in all genres. However, after extended wear, they began to cause me outer ear pain where my ear touched the interior part of the headphone. I have since switched my primary headphones to the Sennheiser PX100.",neutral
"I appreciate the higher voltage needed to charge tablets, like the iPad, which has a bigger power draw than traditional smartphones. However, over time, I noticed that the charger doesn't hold up. The seam that connects the front plate to the back plate split apart and the construction quality could be better.",neutral
"These wipes leave my iPhone/Kindle Fire/iPad2 clean as a whistle.  No more fingerprints, smudges, or gunk.  I also assume they are sanitizing my device.  Overall these are a good buy.The only downside is their size.  These wipes are well smaller than a dollar bill.  With only 15 wipes per pack, if you are cleaning bigger items (iPad for example), you will go through these in a hurry.",neutral
Sony comes out with great products but making this system exclusive just for Sony 4K Tv's is just pure greed. I had it for about 3 weeks and sold it.,neutral
"I am happy with it, I fell I got my money's worth. I think the next generation could be refined though. When I am in the shower I want to change the volume, I sometimes turn it off instead of up or down because it hard to tell which button is which.",neutral
"The price isn't amazing, it's not a rip off either though.They function just as they should. Therefore, &#34;just okay.&#34;",neutral
I purchased this to replace one going bad after 2 years this replacement lasted about 3 month before it went bad back to HP Warranty,neutral
I like the semi hard case but not the cheap velcro straps that you have to use to store your camera safely in this thing. A simple pocket would have been a nicer solution but it'll do for now..... at least it was cheap!,neutral
not truly wireless as they connect the the wall outlet plus are wired to one another. the sound is good but not great.,neutral
