reviewText,AspectTerm,Sentiment
"Fantastic service I am a travel agent booking hotels all over the world , so we are very very fussy .",service general,positive
This hotel offers customer service at its ' best .,service general,positive
"Great location , great service , nothing is too much bother .",location general,positive
"Great location , great service , nothing is too much bother .",service general,positive
"The rooms are great , cheaper than some of the well known names and frankly far better .",rooms general,positive
"The rooms are great , cheaper than some of the well known names and frankly far better .",rooms prices,positive
Stay here and give yourself a treat with staff who really do genuinely care .,service general,positive
"We will continue to book our clients here , as it gives a great satisfaction to offer them such an outstanding property .",hotel general,positive
"We will continue to book our clients here , as it gives a great satisfaction to offer them such an outstanding property .",hotel general,positive
"We will continue to book our clients here , as it gives a great satisfaction to offer them such an outstanding property .",hotel general,positive
"venient , helpful  I stayed here as a single female and it was a great place to be .",hotel general,positive
"The concierge was able to recommend great restaurants and trips , and the hotel is right next to lots of the sights , and the cable car turnaround",service general,positive
"The concierge was able to recommend great restaurants and trips , and the hotel is right next to lots of the sights , and the cable car turnaround",location general,positive
Definitely recommend .,hotel general,positive
Always a comfortable stay Small rooms but nice hotel .,rooms comfort,positive
Always a comfortable stay Small rooms but nice hotel .,rooms design_features,negative
Always a comfortable stay Small rooms but nice hotel .,hotel general,positive
Just had a restaurant and bar makeover - much improved .,food_drinks quality,positive
Just had a restaurant and bar makeover - much improved .,food_drinks quality,positive
"Always enjoy my stays here , very good for business .",hotel miscellaneous,positive
"Always enjoy my stays here , very good for business .",hotel general,positive
Great location and friendly staff .,location general,positive
Great location and friendly staff .,service general,positive
Loved Le Pavillion We go to New Orleans frequently for business and for pleasure .,hotel general,positive
It was wonderful !,hotel general,positive
The staff was personable and professional .,service general,positive
The staff was personable and professional .,service general,positive
"The room was a little small , but if you are in New Orleans you are not in your room that much .",rooms design_features,negative
I can definitely say that Le Pavillion will be our hotel of choice from now on .,hotel general,positive
Loved our stay,hotel general,positive
"The Castle Inn was perfect -  - very clean , quiet , great location .",hotel general,positive
"The Castle Inn was perfect -  - very clean , quiet , great location .",hotel cleanliness,positive
"The Castle Inn was perfect -  - very clean , quiet , great location .",hotel comfort,positive
"The Castle Inn was perfect -  - very clean , quiet , great location .",location general,positive
"Not pretentious at all , very comfortable .",hotel comfort,positive
"The staff was friendly , and extremely helpful .",service general,positive
"The staff was friendly , and extremely helpful .",service general,positive
Would definitely recommend .,hotel general,positive
wonderful hotel wonderful location,hotel general,positive
wonderful hotel wonderful location,location general,positive
The Hotel Francois 1er right off the Champs - Elysees is an excellent hotel in an excellent location .,hotel general,positive
The Hotel Francois 1er right off the Champs - Elysees is an excellent hotel in an excellent location .,location general,positive
"The service , rooms , and food are first class and the location couldn ' t be better !",service general,positive
"The service , rooms , and food are first class and the location couldn ' t be better !",rooms quality,positive
"The service , rooms , and food are first class and the location couldn ' t be better !",food_drinks quality,positive
"The service , rooms , and food are first class and the location couldn ' t be better !",location general,positive
The rooms are beautiful and the service was very efficient .,rooms design_features,positive
The rooms are beautiful and the service was very efficient .,service general,positive
We would definitely return to this this hotel .,hotel general,positive
"She upgraded us to a fabulour corner room , facing the harbor and gave us complimentary access to the executive suite hospitality room .",rooms prices,positive
"She upgraded us to a fabulour corner room , facing the harbor and gave us complimentary access to the executive suite hospitality room .",service general,positive
"The staff were all very nice , from the bell man who gave us tips on how to get into Boston and what to do once we got there , to the desk clerk , to the health club attendant , to the shuttle bus drivers .",service general,positive
"The staff were all very nice , from the bell man who gave us tips on how to get into Boston and what to do once we got there , to the desk clerk , to the health club attendant , to the shuttle bus drivers .",service general,positive
"The staff were all very nice , from the bell man who gave us tips on how to get into Boston and what to do once we got there , to the desk clerk , to the health club attendant , to the shuttle bus drivers .",service general,positive
"The staff were all very nice , from the bell man who gave us tips on how to get into Boston and what to do once we got there , to the desk clerk , to the health club attendant , to the shuttle bus drivers .",service general,positive
"The staff were all very nice , from the bell man who gave us tips on how to get into Boston and what to do once we got there , to the desk clerk , to the health club attendant , to the shuttle bus drivers .",service general,positive
Would stay there again in a heart beat !,hotel general,positive
Up to our expectations An excellent stay at the Elysee .,hotel general,positive
Up to our expectations An excellent stay at the Elysee .,hotel general,positive
We had a wonderful large room on 14th Floor which had a balcony and view which was just what we asked for .,rooms general,positive
We had a wonderful large room on 14th Floor which had a balcony and view which was just what we asked for .,rooms design_features,positive
We had a wonderful large room on 14th Floor which had a balcony and view which was just what we asked for .,rooms general,positive
The breakfast and afternoon cheese and wine were really enjoyed .,food_drinks quality,positive
The breakfast and afternoon cheese and wine were really enjoyed .,food_drinks quality,positive
The hotel is ideally situated close to main attractions and Central Park and just across the road from Metro but in a very quiet road .,location general,positive
The hotel is ideally situated close to main attractions and Central Park and just across the road from Metro but in a very quiet road .,location general,positive
Would definitely stay here again .,hotel general,positive
Budget,hotel prices,positive
This hotel is a typical budget down town Amsterdam hotel .,hotel general,neutral
"It ' s for you who are looking for cheaper great location , walking distance to the centrum and Amsterdam Centraal station .",hotel prices,positive
