reviewText,AspectTerm,Sentiment
"Loved the Okura Stayed from the 26 - 28 oct and loved the hotel , check in was 2pm",hotel general,positive
Decent RAM for the money so you really can't expect anymore. If you are building a gamming rig I would advise going with a higher MHz as you can tell the difference.,gamming,neutral
It says to use 3 or 4 drops but even using like 20 still didn ' t taste good,food quality,negative
I ordered twice from this seller ; the products sold by this store are great !,amazon availability,positive
"The French Roast was smooth , dark and just darn tasty .",food quality,positive
The packaging is the same but the flavor is rich and smooth and tastes brewed .,food quality,positive
The principal buffet and the snack at the pool were not very good but all the other restaurant was ok .,food_drinks quality,negative
The room was small and facilities were basic .,rooms design_features,negative
"Warm , crunchy and tasty .",food general,positive
The cure taste is too strong .,food quality,negative
Not strong but a mellow taste .,food quality,positive
"Not too greasy , but enough to keep my hair well - tamed .",food general,positive
"This is a modern construction which does NOT shake , rattle and roll when its windy in SF . The Hotel ' s restaurants are great and breakfast is excellent with wonderful staff especially reception and dining room .",service general,positive
"Products were very poorly packaged, one of the units arrived with broken belt clip.  The other is still intact, but the frail plastic construction looks like it could break at any moment.  Sound quality is okay, albeit a tad on the weak side.  Haven't had a chance to test the range, but if I do, I'll be sure to update my review accordingly.",Sound quality,neutral
LOVVVVE IT !,food general,positive
"These are SUPER salty , and they taste like what I imagine dog kibbles would taste like .",food quality,negative
"I really liked this case when I first got it, but after a few months of regular use, the flap holding my kindle in place started to come loose and the case doesn't want to stand up on its own anymore. It was kind of disappointing considering how great it seemed when it first arrived. I guess there is a reason it was pretty inexpensive.",kindle,neutral
It is a little stiffer than some gums so I like to combine it with Wrigley ' s Doublemint .,food style_options,neutral
The furnishings in the room were a bit dark and dreary .,rooms design_features,negative
Good Accomodations,hotel general,positive
I love the blends of different teas to make this a delicious hot drink in the a . m .,food quality,positive
"The staff was very friendly , helpful and professional and the location of the hotel was superb .",service general,positive
Wonderful views and close to a big beach .,hotel general,positive
- it was above average but only a typical business stop - over hotel .,hotel general,neutral
The price and quality of this coffee is excellent .,food prices,positive
I would highly recommend adding this hotel to your paris stay !  !,hotel general,positive
"To her credit , my ( 8 month old ) daughter ate some bites , but not nearly as enthusiastically as the other flavors .",food general,negative
If you haven ' t ordered this yet go and do so right NOW !,food recommendation,positive
Shame on you Wallenford for the deception ! !,food general,negative
"Great Petit Hotel , Superb location !",location general,positive
an ok hotel but the rooms are suffering .,hotel general,neutral
My daughter loves these yogurt melts .,food general,positive
The staff are attentative and polite and the rooms are superb !,service general,positive
"I was in the Executive Tower , with a very nice room , comfortable bed and great shower .",room_amenities general,positive
"It met all our needs - clean , comfortable beds and pillows , air conditioned , very nice bathroom and very friendly multi lingual staff .",service general,positive
This particular Earl Grey is flavorful and warming .,food general,positive
was the lack of a pool !,facilities general,negative
All in all we had a great stay and recommend this hotel to anyone .,hotel general,positive
". . . . . . . . are great BUTthe powder is the best . good deal for sure  next time , it ' s the powder !",amazon prices,positive
"The taste runs from a faint chemical ( much like benzine ) to stale , to an occasional nutty flavor .",food quality,negative
It sounded terrible when my daughter first bought it but once I tasted it I was hooked .,food general,neutral
"We enjoyed the above - par service , the clean and cozy room ( yes , a little tight but workable )  , the coffee and cookies in the lobby 24 / 7 , and cozy bar where we could enjoy a cocktail in a quiet atmosphere -  - all at a very reasonable price .",hotel prices,positive
The cashews were big & very few broken .,food style_options,positive
It just amazing i am hooked and i cannot stop .,food general,positive
Why did I get such a stong memory of hospital smells in the ' 50s ?,food quality,negative
The only brand of tea I have ever had do this .,food general,negative
"$31 / day .  - The restaurant ( Cafe 15 ) had very slow service when I eat there , even though they weren ' t doing much business .",service general,negative
"Awesome location , secured parking and an interesting interior .",facilities general,positive
"However , still looking to reduce cost further .",food prices,negative
Wow .,food general,neutral
"I stayed here over a weekend and paid a ridicously low rate , so I wasn ' t expecting much .",hotel prices,positive
I ' ll buy it again when I ' m out .,food general,positive
I was very disappointed .,food general,negative
Good coffee and its a fair trade product so you can feel extra great inhaling the scent and complex yet simple flavors yet knowing you ' ve helped the earth and the people on it a bit in your small way .,food quality,positive
Room and service were excellent and highly recommended,service general,positive
I went to New Orleans with my new Fiance and we stayed at the Doubletree on Canal street and had a great time .,hotel general,positive
"smelly rooms , no hot choc but cool view !",rooms general,negative
The rooms were very clean and bit larger than we expected .,rooms cleanliness,positive
"I won ' t buy this flavor again , but I do enjoy choc . mint and choc peanut butter a lot ( which is unusually because I normally don ' t like chocolate ice cream ) .",food general,positive
This is an excellent hotel - wonderful staff and service .,service general,positive
"Pleasantly surprised Very close to airport , staff kindly checked me in very early and after I freshened up pointed me in the right direction to the main centre .",service general,positive
Small bumps in the road disconnected the ipod and i began to get annoyed. gave it away to a friend,ipod,neutral
"I ' d do business with them again , for certain .",food general,positive
