reviewText,AspectTerm,Sentiment
We subscribed to this product for awhile and it was a good mushroom then recieved a batch that seem if all the rejects were put into one bottle and we got it .,food general,negative
"This is indeed an OEM drive - came with no warranty card, no SATA cable, screws, shipping list, manual or any other insert. If this drive goes south I don't have much of a paper trail to help me send it back. Purchased from Tech for Less through Amazon. I guess they ran out of them because the seller is now some other outfit.",drive,neutral
mfort and convenience at the right price This hotel is primarily a business hotel .,hotel general,positive
It is a bit pricey but we would stay there again in a heartbeat and recommend it highly .,hotel prices,neutral
"The room was nice , the beds are very comfortable and the staff was extremely friendly and helpful .",service general,positive
"Piece of crap, the ear pads keep coming off.  I should have just bought the Beats headphones by dr. dre instead.",ear pads,negative
"If you like sushi , and you enjoy the taste of wasabi , these are for you .",food recommendation,neutral
Fabulous hotel !  !,hotel general,positive
I ' m sending him a label to return it .,food general,negative
I use this to have an extra monitor closer to my ham shack.  It does the job but the screws don't reach the nuts so I only could plug the cord in and could not screw it in place.,cord,neutral
"could be 25metresFree transfers to town from morning to nightResort is lush and green with lots of plants  flowersComo shambhala toiletriesNo major issues with the hotel except that there were flies by the poolside , which makes it inconvenient if you want to leave your food / drink unguarded while you take a dip .",hotel cleanliness,negative
"One problem I've had with a lot of headphones is the wiring from the audio jack connection to the ear pieces seems to come loose. Some headphones have been a little more durable than others. These seem about average in durability so far, and the sound quality is okay though nothing remarkable. If you're an audiophile, obviously you'd want to look at other options. But for the average listener who wants an inexpensive pair of headphones, these are okay.",sound quality,neutral
"Although the soup lacks the punch of spiciness one would expect from a true Indian ( or Caribbean ) curry dish , the soup is still a delicious meal .",food general,neutral
"These headphones are terrific. I use them all the time for listening to music and watching movies. I have had them for a few years now, and they still work just as good as the day i bought them. They have a nice long  cord, so you don't have to sit close to your receiver or dvd player. If you  are looking for a set of headphones, these are one of the best for its  price range.",work,positive
I rated these healthy treats 3 stars instead of 4 stars because the crisps were all broken up and were in crumbs .,food quality,negative
"According to the ingredients list , it contains no sugar or corn syrup , however it does have a syruppy sweetness to it .",food quality,negative
Check in was easy and staff was accommodating .,service general,positive
