reviewText,AspectTerm,Sentiment
"I would have given these bars two stars since they actually taste OK , but I have a hard time believing that the 4 . 5 star rating the product currently receives hasn ' t been created by company shills .",food general,negative
"The rooms in the main building are to standard , not the biggest but goog enough .",rooms design_features,neutral
I purchased this in hopes of using it with my sound machine. However I found that it turns off after about 10 minutes. While it has good sound I was disappointed with the turning off.,sound,neutral
"Fantastic hotel , fantastic city Planned a four week vacation to Australia and found trip advisor to be totally helpful to me , felt like I should share my experience .",hotel general,positive
Love this flavor .,food quality,positive
I would have liked a stronger cheese flavor and the cheese bites seem a little air puffed .,food quality,neutral
I found that this tea does not taste as well as another brand of Oolong tea I use .,food quality,negative
"These don't last quite as long as the official Panasonic batteries, but for this price I don't really care.",batteries,neutral
Fastastic Value and convenient to airport .,hotel general,positive
Boxes arrived in horrible shape .,shipment quality,negative
"Very expensive , but for the once - in - a - lifetime trip ( honeymoon )  , it is worth it .",hotel prices,negative
"I bought this belt to use with my modular accessories, camera holster, lens case and accessories.  Works well but it should come with a suspender type unit to support the weight of the camera and lenses.  It came with one shoulder strap.  Fortunately I had one laying around so I can use.  Otherwise, the weight would pull the belt down.",lens case,neutral
Quiet too -,rooms comfort,positive
Despite being the ugliest building in Boston it is a comfortable hotel whose location is fantastic for most of the central Boston attractions .,hotel design_features,negative
I find that I don't use the keyboard all that much so every time I do I have to tap on a key several times to get its attention. Once it is connected it works fine and has all the capabilities to manage the tablet,key,neutral
"Item ordered was 8 GB Sandisk ultra secure digital card, speed of 30MB/S and a Class rating of 10. (As Pictured)Received was 8 GB Sandisk ultra secure digital card, SPEED 15MB/S and CLASS rating of 4.I cannot see how these two cards are equivalent.Does someone have an explanation on this?THANKS",card,neutral
I purchased this to replace one going bad after 2 years this replacement lasted about 3 month before it went bad back to HP Warranty,HP Warranty,neutral
"This product &#34;works&#34; well as far as fitting into place and all that jazz. But I bought it because I thought it would improve my graphics over my component cables but it doesn't. My picture looks the same. I'm not sure (and I really don't have the time nor do I care enough to do the research) if the Wii doesn't support HD graphics or what's up, but my picture looks the same with this or with component cables.",Wii,neutral
"Perfect for going to plays , taking the subway , and finding good resturants close by .",location general,positive
"Room was contemporary , clean and of a high standard .",rooms design_features,positive
"If the mounting area on your display is recessed, then the included 6mm, 8mm, and 10mm screws may not be long enough.When attaching to a Samsung 245BW, you will need to go to your locally-owned hardware store, and purchase four 12mm M4 machine screws.",machine screws,neutral
Bait and switch. Not gold tipped. It works for now but i will be looking for a gold tipped version. These will do in a pinch but i use gold for better contact.,Bait,neutral
"Great Location , Dirty rooms After changing our room 3 times we finally got a half decent room .",rooms general,neutral
I would highly recommend this hotel .,hotel general,positive
"The character of the place is unique and enchanting with its artwork , antiques and friendly atmosphere .",hotel general,positive
"The continental breakfast was small , but it was available all morning long and the coffee was great !",food_drinks style_options,negative
"You have everything just around the corner and a very good location for all attractions in the city , including BART , bus and cable car .",location general,positive
"Some may consider the rooms on the small side , but they are furnished and decorated to a very high standard and to be fair , you will not spend a lot of time in them if you want to take in all the sights and experiences Barcelona has to offer .",rooms design_features,negative
Would definitely recommend !  !,hotel general,positive
A lot less mushy than the american vegetarian version .,food general,positive
Sweet and spicy !,food quality,neutral
"Whilst we have seen bigger rooms in luxury hotels in the US and Far East , for European standards it was of a good size and very ell apointed and functional , something you don ' t see everywhere .",hotel general,positive
"No aircondition , sloppy service , unsafe neigborhood , extrem noisy hallways ( doors automatically slam shut )  , I could go on and on and on .",service general,negative
Very clean and well maintained .,hotel general,positive
"Perfect location , quiet nights , and the convenience of the market across the street made our vacation great .",location general,positive
I was sold on Stash brand for the powerfully good aroma and flavor they seem to provide in their teas .,food quality,positive
We got it through priceline for $ 115 + tax .,hotel prices,neutral
The staff were very helpful and the room small but immaculate .,service general,positive
"I love the convenience of the K - cup , but feel guilty about the environmental consequences of my choice .",food general,negative
I would highly recommend this drink and suggest that anyone try it .,food recommendation,positive
It was one of my worst night mares when someone actually unlocked my door at 10 : 20 p . m . on the night of Saturday 2nd .,hotel miscellaneous,negative
"This is organic , has the right amount of flavor , sweetness , and crunch .",food quality,positive
I unhesitatingly recommend it and will stay nowhere else when I return to Florence .,hotel general,positive
I finally gave up and cancelled my subscription .,food general,negative
"No matter how hard I tried , I could not get it to adequately mix with milk .",food general,negative
"The coffee was good , it just did not have the flavor I was expecting .",food quality,neutral
"By the way I love bacon , but this was not bacon .",food general,negative
"The hotel is quaint with a lovely terrace and nice hosts , but seemed as if this place was more geared towards americans , with some surprise at guests that are not americans ( i . e . us )  .",service general,positive
Our room was quite small but clean and neat .,rooms cleanliness,positive
"Once the airconditioning is running you dont hear the noise , and when you only need five minutes to get to any place , you forget the rudness of the front desk staff .",facilities quality,positive
"A good Surround Home Theater Receiver but know it is showing its age..No 3D support, so when you get your new 3D tv and 3D player you il not be able to use it to it's full potential unles your player has a 2nd HDMI out for sound....and even then what happens when you want to connect another 3S device to your TV? Get the newr versions, otherwise you will regret it later.",sound,neutral
Not good if you want to catch an early flight .,location general,negative
I would say average .,hotel general,neutral
